code,name
970,Sanson
973,Turitea
975,Rarangi
976,Ocean View
981,Dovedale
984,Waikino
986,Waiheke Island
990,Whitikahu
991,Abbotsford
1002,Meeanee
1004,Mangere
1009,Ikawai
1013,Mahau Sound
1014,Turakina
1025,Ardmore
1027,Middlemore Hospital
1029,Maraetai
1032,Leigh
1035,Bridge Pa
1037,Langs Beach
1044,Inner Kaiti
1045,Tauranga Central
1046,Torbay
1047,Northcote
1052,Green Island
1053,Prestonville
1060,Lake Rotoma
1064,Maori Hill
1072,Pitt Island
1074,Somerfield
1078,Morningside
1079,Maungaturoto
1081,Tauwhare
1083,Allenton
1088,Whangamata
1089,Matauri Bay
1090,Rototuna
1092,Ascot Park
1093,Mount Victoria
1095,Prebbleton
1097,Trentham
1099,Omahu
1100,Tindalls Beach
1102,Manawahe
1106,Tiakitahuna
1109,The Glen
1111,Avonhead
1117,Queenwood
1118,Russley
1120,Belleknowes
1124,Mangakakahi
1125,Wadestown
1128,Ashburton
1132,Greenlane
1133,Kaiaua
1136,Ohaeawai
1138,Okoki
1140,Ngapuna
1142,Epsom
1154,Smithfield
1161,Runciman
1162,Virginia
1164,Wellington Central
1166,Waimauku
1171,Brookby
1174,Clarkville
1175,Harrowfield
1177,Hikutaia
1178,Te Puna
1179,Northgate
1182,Gate Pa
1183,Charteris Bay
1184,Redwood Valley
1185,Hobsonville
1191,Kingswell
1192,Georgetown
1194,Forrest Hill
1195,Grasmere
1202,Laingholm
1204,Henderson Valley
1207,Brown Owl
1209,Maungati
1212,Dairy Flat
1213,Sorrento Bay
1214,Tangimoana
1216,Rotokauri
1219,Ashley
1221,Richmond Downs
1223,Pukehangi
1230,Whareora
1232,Northpark
1234,Clarks Beach
1235,Epuni
1236,Mount Grand
1237,Waitarere Beach
1240,Rotherham
1241,Taradale
1242,Saint Leonards
1253,Manukau
1259,Cracroft
1262,Heathcote Valley
1263,Manutuke
1268,Glen Massey
1269,Kelburn
1274,Horsham Downs
1277,Mangamahu
1278,Aniseed Valley
1281,Saint Leonards
1287,Norsewood
1289,Totara Heights
1293,Kakanui
1295,Oratia
1298,Ngahere
1300,Tomarata
1303,Wardville
1305,Lucas Heights
1306,Kuratau
1313,Mana
1315,Raumati Beach
1316,Totara
1320,Foxton Beach
1321,Hunter
1327,Harewood
1329,Pukekohe
1331,Port Chalmers
1335,Nine Mile
1341,Ohau
1342,Mission Bay
1344,Luggate
1347,Terrace End
1348,Hillsborough
1349,Matatoki
1350,Haruru
1352,Elderslea
1354,Kuripapango
1355,Bryndwr
1360,Atiamuri
1361,Lower Hutt
1362,Strowan
1364,Ikamatua
1365,Avalon
1366,Coatesville
1367,Makikihi
1368,Manly
1370,Leslie Hills
1371,Motatau
1373,Dartmoor
1374,Dunollie
1380,Marybank
1381,Waharoa
1383,Matahi
1389,Solway
1391,Kakahi
1392,Hatfields Beach
1394,Mourea
1397,Mangatarata
1398,Whatawhata
1406,Whitford
1411,Tirohanga
1417,Pakuranga Heights
1419,Ahipara
1420,Stepneyville
1422,Opoutere
1427,Halswell
1430,Berhampore
1435,Te Puru
1438,Bay View
1448,Pipiwai
1453,Mercer
1454,Freemans Bay
1456,Fordlands
1457,Waiake
1461,Okura
1465,Awarua
1466,Hurunui
1470,Balaclava
1471,Hampstead
1472,Puni
1475,Horahora
1477,Maeroa
1478,Redwoodtown
1479,Hunua
1480,Te Arai
1483,Hamurana
1484,Karamu
1485,West Harbour
1487,Lyttelton
1488,Outer Kaiti
1489,Strandon
1490,Omokoroa
1491,New Windsor
1498,Highfield
1500,Ohoka
1503,Point Chevalier
1506,Meadowbank
1507,Pollok
1513,Hairini
1517,Matawaia
1518,Taipa
1520,Taita
1521,Westbrook
1523,Harwood
1530,Avenues
1532,Pouawa
1534,Fairfield
1540,Shelly Park
1541,Parau
1542,Wharehine
1544,Miranda
1545,Belmont
1555,Koutu
1557,Ravensbourne
1560,Upper Moutere
1561,Ferrymead
1564,Unsworth Heights
1570,Houghton Bay
1574,Melville
1578,Avonside
1580,Te Hoe
1583,Algies Bay
1585,Motumahanga (Saddleback)
1586,Awatere Valley
1590,Pahurehure
1595,Ramarama
1596,Arrowtown
1597,Great Barrier Island
1599,Okitu
1600,Moncks Bay
1601,Whau Valley
1602,Robinsons Bay
1603,Korokoro
1607,Glen Eden
1609,Rosewill
1611,Kaitoke
1623,Peria
1624,Woodhaugh
1630,Bellevue
1634,Hannahs Bay
1635,Manukau Heads
1642,Awhitu
1645,Thames
1647,Opaheke
1648,Carters Beach
1649,Ohinemutu
1652,Wharewaka
1654,Makaraka
1655,Scargill
1657,Mokau
1660,Hillmorton
1661,New Brighton
1665,Drury
1666,Westport
1667,Porirua
1673,Clover Park
1675,Patumahoe
1677,Kensington
1679,Taruheru
1683,Kingston
1685,Westwood
1693,Ti Point
1695,Apiti
1696,Days Bay
1697,Te Kopuru
1698,Northcross
1701,Highlands Park
1702,Rongotai
1705,Hamilton Lake
1709,Aranui
1711,Te Poi
1716,Hamilton East
1718,Westmere
1720,Russell
1721,French Farm
1724,Queenstown Central
1726,Caversham
1728,Orere Point
1729,Waltham
1731,Tihiotonga
1732,Kokopu
1733,Tikitere
1734,Kaukapakapa
1736,Pegasus
1737,Thorpe
1738,Kingston
1740,Parewanui/Scott's Ferry
1744,Lake Okareka
1745,Fox Glacier
1747,Bishopdale
1750,Haywards
1751,Gisborne
1753,Roseneath
1755,Fairfield
1758,Khandallah
1759,Waikite Valley
1760,Redruth
1761,South New Brighton
1765,Concord
1771,Ahuriri
1772,Waihao Downs
1773,Hampden
1777,Glenleith
1780,Taharoa
1781,Pakowhai
1782,Flaxmere
1785,Woburn
1786,Fenton Park
1788,Manawaru
1790,Marewa
1791,Riverside
1797,Marshland
1801,Pakuratahi
1803,Otangarei
1807,Diamond Harbour
1811,Waverley
1812,Blenheim Central
1813,Hinakura
1816,Narrow Neck
1821,Britannia Heights
1822,Sunnynook
1824,Hahei
1829,Ness Valley
1831,Paerata
1833,Maoribank
1834,Cust
1839,Bayview
1840,Mount Eden
1843,Schnapper Rock
1846,Welbourn
1847,Monaco
1849,Matamata
1850,Herne Bay
1852,Whangarei Central
1856,Silverstream
1858,Arapohue
1860,Kainga
1861,Awapuni
1865,Port Whangarei
1866,Hexton
1870,Tamahere
1877,Bastia Hill
1879,Kew
1880,Mahurangi West
1881,Oropi
1882,Avenal
1884,Eureka
1885,Marsden
1886,Riverdale
1890,Kew
1891,Moerewa
1893,Hastings
1897,Ruakaka
1902,Merrilands
1904,Watlington
1905,Woodhill
1906,West End
1907,West Plains
1913,Elephant Hill
1915,Stanmore Bay
1924,Deanwell
1928,Avalon
1929,Roslyn
1930,Kirwee
1934,Ratana
1942,East Taieri
1944,Tokanui
1945,Paewhenua Island
1946,Kirkliston
1948,Rotorua Central
1951,Ngawha Springs
1952,Tawhero
1953,Taneatua
1956,Glenross
1958,Waddington
1959,MacDonald Downs
1962,Remuera
1964,Ngauranga
1965,Otamauri
1966,Lake Tarawera
1969,Winchmore
1974,Taupiri
1976,Whitemans Valley
1978,Point Howard
1979,Okains Bay
1981,Marybank
1983,Panmure
1984,Pukekawa
1985,Pakotai
1990,Glenavy
1992,Maunganamu
1993,Lynmouth
1995,Toi Toi
2001,Chatswood
2002,Durie Hill
2003,Farm Cove
2008,Whangaroa
2009,The Brook
2010,Richmond
2014,Papakura
2017,Kahurangi National Park
2019,Otumoetai
2022,Holdens Bay
2040,Lowry Bay
2041,Waihopai Valley
2042,Baverstock
2044,Half Moon Bay
2046,Whitiora
2048,Roslyn
2052,Kaeo
2054,Te Araroa
2058,Spring Creek
2060,Mahia
2065,Timberlea
2071,Ngaio
2073,Fairview Heights
2079,Waikari
2080,Waipori Falls
2081,Leith Valley
2082,Petone
2083,Richmond Hill
2085,Glenduan
2086,Waterloo
2087,Kaingaroa
2088,Waitangi
2090,Waitakere
2091,Nelson South
2092,Templeton
2096,Oteha
2097,Sockburn
2100,Albany
2103,Redwood
2110,Denniston
2118,Wigram
2127,Leithfield
2132,Waipawa
2135,Brooklands
2136,Otara
2137,Whangamoa
2138,Lynmore
2139,Papanui
2140,Penrose
2144,Maungatapere
2147,Waiau Pa
2148,Tuamarina
2149,Auckland Airport
2151,Stoke
2155,Waterview
2156,Purau
2160,Cape Foulwind
2162,Dinsdale
2163,Winchester
2165,Waimataitai
2168,Otaki Beach
2170,Johnsonville
2171,Waipu
2180,Buckland
2182,Northwood
2183,Seatoun
2186,Nelson City
2188,Albert Town
2189,Puriri
2191,Deborah Bay
2193,Pataua
2197,Mornington
2202,Broad Bay
2203,Towai
2204,Onetangi
2205,Kauri
2209,Strathern
2212,Sandringham
2213,Pukerau
2217,Manor Park
2219,Redvale
2224,Pakaraka
2229,Waitoki
2230,Glenbrook
2235,Sumner
2236,Fairfield
2240,Kenmure
2242,Mangere East
2244,Newtown
2245,East Tamaki
2247,Kelvin Heights
2250,Turangaomoana
2259,Stokes Valley
2263,Matua
2265,Brookfield
2266,Lake Alice
2271,Churchill
2273,Burbush
2276,Stephens Island (Takapourewa)
2279,East Cape
2285,Devonport
2287,Longburn
2288,Albury
2296,Alicetown
2297,Pakipaki
2300,Waihaorunga
2303,Whakatu
2306,Newbury
2307,Arthurs Point
2311,Broadlands
2313,Murrays Bay
2317,Waiwhare
2321,Birdlings Flat
2322,Lichfield
2323,Wattle Downs
2325,Blackhead
2328,Southshore
2329,Fitzroy
2331,Tasman
2333,Camborne
2336,Browns Bay
2339,Puketaha
2347,Westown
2348,Opawa
2351,Barrytown
2352,Karaka Bays
2357,Pakiri
2358,Gladstone
2359,Okauia
2360,Favona
2363,Northcote
2367,Te Awa
2368,Tiniroto
2369,Mangaorapa
2370,Todds Valley
2373,Parkvale
2375,Maketu
2376,Opua
2378,Tauriko
2380,Moana
2384,Huia
2387,Saint Johns Hill
2392,Vogeltown
2394,Manurewa East
2395,Onekawa
2396,Parkvale
2397,Scroggs Hill
2400,Riverstone Terraces
2404,Roys Hill
2405,Whenuakite
2407,Westmere
2411,Grafton
2412,Cannons Creek
2414,Selwyn Heights
2421,Pokeno
2424,Waimairi Beach
2428,Riverhead
2434,Wainui
2436,Flagstaff
2438,Sawyers Bay
2440,Tomoana
2441,Omata
2444,Western Springs
2447,Delaware Bay
2465,Rosedale
2478,Mayfair
2482,Broomfield
2485,Bishopdale
2489,Pukehina
2491,Oriental Bay
2495,Vauxhall
2497,Burnside
2500,Belmont
2509,Mahora
2515,Marchwiel
2518,Whangaehu Valley
2519,Titahi Bay
2521,Totara Vale
2522,Craigs Flat
2529,Careys Bay
2535,Hohonu
2542,Gordon
2543,Port Albert
2544,Utuhina
2547,Hargest
2549,Kelson
2552,Tuturumuri
2553,Rototuna North
2554,Kelvin Grove
2556,Owhata
2558,Birkenhead
2562,North Taieri
2568,Castlecliff
2569,Pinehaven
2571,Otaua
2573,Wiri
2576,Aramoana
2577,Miramar
2578,West Melton
2581,Western Heights
2583,Mount Wellington
2587,Duvauchelle
2593,Fairy Springs
2599,Ohakea
2602,Frankton
2604,Shannon
2607,Alfriston
2611,Port Levy
2615,Sunnyvale
2616,Otaika
2618,Springston
2621,Moonshine Valley
2622,Glendene
2624,Clyde Hill
2625,Paremata
2626,Rukuhia
2630,Glenfield
2631,Palmerston North Central
2633,Rangiriri West
2634,Linwood
2637,Rotoorangi
2638,Seaview
2639,Te Rapa
2641,Sherenden
2644,Windsor Park
2647,Brooklyn
2649,Hikurangi
2650,Wallaceville
2651,Kaimarama
2652,Ohariu
2662,Tinwald
2663,Beckenham
2666,Mangapapa
2669,Matapouri
2670,Pukete
2671,Maromaku
2673,Little Akaloa
2679,Ormondville
2681,Clive
2685,Kennedys Bush
2687,Kawaha Point
2688,Tutukaka
2694,Rolleston
2697,Kihikihi
2702,Springvale
2706,Te Kaha
2708,Bayswater
2710,Addington
2716,Te Miro
2718,Matahiwi
2720,Merivale
2721,Totara Flat
2723,Waitangirua
2724,Maia
2727,Richmond Heights
2728,Kelston
2732,Tinopai
2734,Mount Maunganui
2736,Golden Downs
2738,Waikuku
2743,Otira
2752,Riverlea
2757,Maupuia
2758,Tangoio
2762,Grandview Heights
2764,Spotswood
2765,Western Heights
2766,Grenada Village
2767,Massey
2770,Burwood
2772,Bader
2773,Burswood
2774,Aokautere
2776,Blockhouse Bay
2780,Weymouth
2782,Northland
2787,Bucklands Beach
2788,Mamaku
2789,Greerton
2791,Ngakuru
2795,Papatoetoe
2797,Le Bons Bay
2798,Hot Water Beach
2799,Wakapuaka
2803,Richmond
2804,Renwick
2805,Otakiri
2807,Rotoma
2810,Botany Downs
2812,Waverley
2815,Crownthorpe
2818,Edgeware
2819,Golflands
2820,Pauatahanui
2823,Maraenui
2824,Saddle Hill
2826,Aongatete
2828,Rangiriri
2829,Maungaraki
2832,Whananaki
2833,Porirua East
2835,Kopu
2836,Opaki
2838,Waiatarua
2840,Waiomio
2843,Mount Cargill
2847,Kaitaia
2849,Paihia
2850,Enner Glynn
2855,Dobson
2856,Naenae
2859,Maryhill
2861,Massey University
2865,Parkside
2867,Heidelberg
2869,Wanaka
2870,Mangatawhiri
2873,Whakapirau
2875,Muriwai
2876,Mellons Bay
2877,Kawau Island
2881,Army Bay
2884,Belfast
2886,Clandeboye
2891,Marsden Point
2894,Stockton
2896,Ngarua
2899,Onehunga
2907,Hunters Hills
2909,Aotea
2914,Hampton Downs
2916,Waerenga
2919,Takanini
2924,Pukemoremore
2925,Ngahinapouri
2928,Te Atatu South
2934,Bexley
2935,Grovetown
2937,Beerescourt
2938,Campbells Bay
2941,Whakamarama
2945,Pipiroa
2948,Grenada North
2951,Shamrock Park
2956,Ranui Heights
2958,Wakatu
2959,Beach Haven
2962,Paremoremo
2965,Stillwater
2967,Malvern Hills
2968,West End
2969,Otaihanga
2970,Okoia
2971,Eden Terrace
2972,Green Bay
2975,Ebdentown
2976,Thornton
2977,Crofton Downs
2984,Parapara
2990,Peka Peka
2993,Stillwater
2995,Kokatahi
2997,Wayby Valley
3000,Highbury
3002,Edgecumbe
3004,Underwood
3007,Omaha
3008,Whanawhana
3010,Royal Oak
3012,Chedworth
3013,Ngunguru
3017,The Wood
3019,Burnham
3020,Victoria
3022,Upper Waitati
3024,Hoon Hay
3026,Nawton
3027,Glendowie
3028,Wainui
3029,Hei Hei
3031,Fairview Downs
3033,Conifer Grove
3034,Whangaehu
3040,Papaiti
3043,Ruakituri
3045,Pukekohe East
3046,Orewa
3047,Pukewharariki
3048,Horokiwi
3049,Dallington
3058,Waiwera
3062,Mount Cook
3063,Silverdale
3064,Karekare
3066,Matapihi
3068,Hauraki
3071,Opiki
3081,Aramoho
3082,Ruakura
3087,Mornington
3088,North Dunedin
3090,Casebrook
3093,Liberton
3095,Auckland Central
3104,Longlands
3106,Tahunanui
3108,Ostend
3109,Tapapa
3112,Appleby
3116,Whangaripo
3117,Kaiata
3118,Mangaweka
3119,Regent
3123,Waimate
3124,Te Hana
3126,Riccarton
3129,Forest Lake
3131,Tarurutangi
3143,Hororata
3146,Mahurangi East
3147,Hakataramea
3149,Rosedale
3150,Waldronville
3151,Stanley Point
3152,Lynfield
3156,Beachville
3157,Raupunga
3159,Gleniti
3160,Moera
3162,Bethlehem
3163,Akina
3167,Hawthorndale
3168,Whataupoko
3169,Sheffield
3171,Takapuwahia
3174,Waiterimu
3175,Leeston
3176,York Bay
3178,Gibbston
3180,Gulf Harbour
3181,Bannockburn
3186,Rotongaro
3187,Puhoi
3190,Kingsley Heights
3191,Port Nelson
3192,Woolston
3195,Lake Pearson
3198,Hope
3205,Normandale
3207,Chaslands
3210,Highbury
3218,Mangateretere
3219,Owhiro Bay
3223,Chatham Island
3224,Arkles Bay
3225,Sefton
3226,The Gardens
3227,Karaka
3230,Ohaupo
3232,Swannanoa
3233,Herald Island
3234,Raumanga
3236,Ponsonby
3239,Oneroa
3240,Wainoni
3246,Melling
3247,Glengarry
3249,Fendalton
3256,Fitzroy
3257,Corstorphine
3260,Mareretu
3261,Twyford
3264,Punakitere Valley
3268,Middlemarch
3277,Omaka
3284,Horeke
3286,Waipatu
3291,Hillcrest
3294,Omiha
3296,Atawhai
